Object/BB,Object/HSF,Object/LSF,Non-Object/LSF,Non-Object/HSF,Non-Object/BB,Time,Subject
0.19542,0.39242,0.23052,-1.1717,0.55332,-1.852,-199.22,1
0.18804,0.2801,0.42763,-1.1999,0.65972,-1.9287,-197.27,1
0.17119,0.18609,0.65327,-1.2339,0.75703,-1.9711,-195.31,1
0.14276,0.1187,0.87669,-1.2761,0.82759,-1.9791,-193.36,1
0.10326,0.036484,1.0327,-1.3268,0.86519,-1.9582,-191.41,1
0.065559,-0.080596,1.1082,-1.3844,0.88463,-1.9089,-189.45,1
0.04767,-0.17957,1.1474,-1.4429,0.90511,-1.8463,-187.5,1
0.060566,-0.21052,1.1771,-1.488,0.94317,-1.7838,-185.55,1
0.10842,-0.19948,1.1815,-1.5042,0.99105,-1.7153,-183.59,1
0.17909,-0.20301,1.1392,-1.4903,1.0238,-1.6434,-181.64,1
0.2441,-0.23596,1.0572,-1.4767,1.0293,-1.5738,-179.69,1
0.27669,-0.28005,0.96328,-1.4909,1.0069,-1.4933,-177.73,1
0.26742,-0.32386,0.86471,-1.5088,0.96473,-1.3934,-175.78,1
0.23222,-0.37315,0.74488,-1.4951,0.91327,-1.2676,-173.83,1
0.20036,-0.43909,0.62083,-1.4521,0.84877,-1.1084,-171.88,1
0.18073,-0.53052,0.53615,-1.3825,0.75548,-0.93674,-169.92,1
0.16738,-0.64611,0.50357,-1.2829,0.63401,-0.78693,-167.97,1
0.16075,-0.75999,0.50003,-1.1774,0.49921,-0.66422,-166.02,1
0.14816,-0.83995,0.48227,-1.0834,0.36318,-0.54431,-164.06,1
0.10793,-0.88821,0.42382,-0.97996,0.24333,-0.42452,-162.11,1
0.04848,-0.92461,0.34038,-0.85274,0.14342,-0.34431,-160.16,1
0.0010176,-0.95278,0.26687,-0.72901,0.039805,-0.32426,-158.2,1
-0.034218,-0.97008,0.22915,-0.64448,-0.082358,-0.33764,-156.25,1
-0.086227,-0.96669,0.22392,-0.5932,-0.20913,-0.35699,-154.3,1
-0.14962,-0.92957,0.22943,-0.53139,-0.31328,-0.37339,-152.34,1
-0.18886,-0.87127,0.23303,-0.42343,-0.37663,-0.38774,-150.39,1
-0.20254,-0.82179,0.23449,-0.2665,-0.40549,-0.4134,-148.44,1
-0.22176,-0.79477,0.22489,-0.077961,-0.4143,-0.45134,-146.48,1
-0.26613,-0.7749,0.17956,0.11052,-0.39997,-0.48518,-144.53,1
-0.33345,-0.74914,0.086175,0.26229,-0.3793,-0.51278,-142.58,1
-0.41306,-0.73577,-0.032253,0.38146,-0.39639,-0.54023,-140.63,1
-0.4873,-0.75195,-0.13228,0.50684,-0.44549,-0.55469,-138.67,1
-0.54517,-0.78177,-0.1968,0.65011,-0.48983,-0.52264,-136.72,1
-0.59506,-0.79851,-0.24702,0.79683,-0.52092,-0.43828,-134.77,1
-0.62974,-0.79407,-0.29794,0.93204,-0.53489,-0.35015,-132.81,1
-0.62488,-0.75926,-0.33884,1.0267,-0.5364,-0.29675,-130.86,1
-0.58001,-0.68367,-0.34726,1.0526,-0.54884,-0.26297,-128.91,1
-0.51837,-0.59308,-0.30191,1.018,-0.58327,-0.22167,-126.95,1
-0.47556,-0.52432,-0.19791,0.96266,-0.64214,-0.16592,-125,1
-0.48414,-0.47775,-0.055193,0.92985,-0.72973,-0.10553,-123.05,1
-0.52812,-0.41891,0.08317,0.94341,-0.82872,-0.05768,-121.09,1
-0.55497,-0.31989,0.18473,0.99573,-0.90029,-0.033715,-119.14,1
-0.54107,-0.18277,0.25157,1.0582,-0.92058,-0.027629,-117.19,1
